day;screen_time;evening_screen;social_media;productivity_and_others;sleep;mood;stress;focus;productivity_level;evening_screen_ratio;social_media_ratio
1;7,25;3,00;5,25;2,00;7,50;4,00;3,00;2,00;4,05;0,41;0,72
2;5,75;2,00;3,50;2,00;8,50;4,00;3,00;3,00;4,85;0,35;0,61
3;4,75;1,50;2,75;2,00;9,00;3,00;4,00;4,00;5,30;0,32;0,58
4;8,75;2,00;5,00;3,75;8,00;3,00;4,00;1,00;3,50;0,23;0,57
5;5,75;1,50;3,25;2,50;8,00;3,00;5,00;4,00;5,00;0,26;0,57
6;7,00;2,00;5,00;2,00;7,00;4,00;5,00;4,00;4,90;0,29;0,71
7;5,50;1,00;3,00;2,50;7,00;5,00;4,00;3,00;4,60;0,18;0,55
8;3,75;0,50;1,75;2,00;8,50;5,00;3,00;5,00;6,05;0,13;0,47
9;4,00;1,00;3,50;0,50;7,50;4,00;4,00;4,00;5,05;0,25;0,88
10;4,50;1,00;2,25;2,25;8,00;4,00;3,00;3,00;4,70;0,22;0,50
11;6,00;0,50;4,00;2,00;8,50;3,00;4,00;2,00;4,15;0,08;0,67
12;6,50;1,00;3,00;3,50;7,00;4,00;4,00;4,00;4,90;0,15;0,46
13;7,00;1,50;5,00;2,00;7,00;2,00;5,00;5,00;5,00;0,21;0,71
14;5,00;1,00;3,00;2,00;7,50;3,00;2,00;2,00;3,85;0,20;0,60
15;5,00;1,50;3,00;2,00;8,00;4,00;3,00;5,00;5,70;0,30;0,60
16;6,00;2,00;4,50;1,50;8,00;4,00;4,00;4,00;5,20;0,33;0,75
17;4,00;1,50;2,00;2,00;7,50;3,00;4,00;5,00;5,35;0,38;0,50
18;5,50;1,00;4,50;1,00;8,00;4,00;5,00;4,00;5,20;0,18;0,82
19;7,00;2,50;5,00;2,00;7,00;4,00;5,00;5,00;5,40;0,36;0,71
20;7,00;1,50;3,50;3,50;7,00;5,00;5,00;5,00;5,60;0,21;0,50
21;9,50;3,50;7,50;2,00;9,00;5,00;1,00;2,00;4,70;0,37;0,79
22;6,50;2,00;5,00;1,50;8,00;4,00;3,00;4,00;5,20;0,31;0,77
23;5,50;1,50;3,50;2,00;7,50;4,00;3,00;4,00;5,05;0,27;0,64
24;4,50;1,50;3,00;1,50;8,00;4,00;3,00;4,00;5,20;0,33;0,67
25;6,50;2,00;5,00;1,50;8,50;5,00;4,00;5,00;6,05;0,31;0,77
26;5,00;1,00;3,00;2,00;7,50;2,00;5,00;5,00;5,15;0,20;0,60
27;5,50;2,50;4,00;1,50;9,00;4,00;4,00;4,00;5,50;0,45;0,73
28;6,00;2,00;4,50;1,50;8,50;4,00;4,00;2,00;4,35;0,33;0,75
;;;;;;;;;;;
;;;;;;;;;;;